,Temperature,k_RTP,Maintenance,CO2,H2,CH4,Pressure,Volume,MetabolicRate
0,273,5.246048482755303e-07,6.133497316017864e-16,0.019626903242713926,0.0020124344805745563,3e-08,181597.95918367346,3.4412868852915668e-18,2.9853557516637453e-20
1,274,6.220344192845253e-07,7.780333188311887e-16,0.01879824352598454,0.001980260226927615,3e-08,181597.95918367346,3.4412868852915668e-18,3.4068166229181536e-20
2,275,7.361746826381243e-07,9.296631286746342e-16,0.018015310214113994,0.0019492248875797044,3e-08,181597.95918367346,3.4412868852915668e-18,3.8877776947431415e-20
3,276,8.696455398391792e-07,1.1482680094499766e-15,0.017275154568727923,0.0019192827771159749,3e-08,181597.95918367346,3.4412868852915668e-18,4.4366389731876735e-20
4,277,1.0254371071525195e-06,1.3979706641517706e-15,0.016575042596516917,0.0018903904567006775,3e-08,181597.95918367346,3.4412868852915668e-18,5.0629863443640764e-20
5,278,1.206955908856507e-06,1.6491455460549776e-15,0.015912437783411865,0.0018625066086608855,3e-08,181597.95918367346,3.4412868852915668e-18,5.77775899236613e-20
6,279,1.4180759946031935e-06,1.968991480235202e-15,0.015284985338810526,0.0018355919189094695,3e-08,181597.95918367346,3.4412868852915668e-18,6.593440452595296e-20
7,280,1.6631954023984899e-06,2.3871106154939308e-15,0.014690497807737967,0.0018096089666687965,3e-08,181597.95918367346,3.4412868852915668e-18,7.524276637249791e-20
8,281,1.9472984134808018e-06,2.8074508005520087e-15,0.014126941923106115,0.0017845221209969318,3e-08,181597.95918367346,3.4412868852915668e-18,8.586524640800851e-20
9,282,2.2760240704921805e-06,3.3482489720161097e-15,0.013592426582982388,0.0017602974436546777,3e-08,181597.95918367346,3.4412868852915668e-18,9.798736670855414e-20
10,283,2.6557414556839943e-06,3.9248564551908455e-15,0.013085191849189142,0.001736902597886411,3e-08,181597.95918367346,3.4412868852915668e-18,1.11820840632691e-19
11,284,3.0936322513740507e-06,4.674245891559276e-15,0.012603598873754675,0.001714306762718373,3e-08,181597.95918367346,3.4412868852915668e-18,1.2760727040448276e-19
12,285,3.597781130335041e-06,5.549337067362679e-15,0.012146120668881667,0.0016924805524073144,3e-08,181597.95918367346,3.4412868852915668e-18,1.4562236670685733e-19
13,286,4.177274549116767e-06,6.497063420643251e-15,0.011711333644287494,0.0016713959406988793,3e-08,181597.95918367346,3.4412868852915668e-18,1.6618076398068211e-19
14,287,4.842308542339408e-06,7.610570542910925e-15,0.01129790984311745,0.0016510261895795026,3e-08,181597.95918367346,3.4412868852915668e-18,1.8964151552896667e-19
15,288,5.604306140583648e-06,8.93809139780205e-15,0.010904609814228573,0.0016313457822283734,3e-08,181597.95918367346,3.4412868852915668e-18,2.1641436439841935e-19
16,289,6.47604505849034e-06,1.0348556322706852e-14,0.010530276064562784,0.0016123303598967753,3e-08,181597.95918367346,3.4412868852915668e-18,2.469668995595958e-19
17,290,7.47179632289162e-06,1.2047664557827831e-14,0.010173827040652419,0.001593956662461364,3e-08,181597.95918367346,3.4412868852915668e-18,2.8183272236861256e-19
18,291,8.6074745330493e-06,1.4120488133189989e-14,0.009834251593092227,0.0015762024724159317,3e-08,181597.95918367346,3.4412868852915668e-18,3.2162076593805325e-19
19,292,9.900800466205435e-06,1.6441850367211115e-14,0.009510603882119582,0.0015590465620822654,3e-08,181597.95918367346,3.4412868852915668e-18,3.670259301802777e-19
20,293,1.1371476761434458e-05,1.9057410665386682e-14,0.009201998686331427,0.0015424686438365357,3e-08,181597.95918367346,3.4412868852915668e-18,4.188412182646316e-19
21,294,1.304137743308839e-05,2.2123301919404476e-14,0.008907607080062333,0.001526449323160915,3e-08,181597.95918367346,3.4412868852915668e-18,4.779715864523096e-19
22,295,1.4934751981673346e-05,2.5694049500789248e-14,0.008626652448109456,0.0015109700543440643,3e-08,181597.95918367346,3.4412868852915668e-18,5.454497491968253e-19
23,296,1.7078444884685008e-05,2.987088609227441e-14,0.008358406809336721,0.0014960130986653181,3e-08,181597.95918367346,3.4412868852915668e-18,6.224542155468999e-19
24,297,1.9502131262466917e-05,3.445875613135235e-14,0.008102187423265574,0.001481561484909239,3e-08,181597.95918367346,3.4412868852915668e-18,7.103298718582702e-19
25,298,2.2238569524422566e-05,3.980034099307888e-14,0.00785735365608611,0.0014675989720671946,3e-08,181597.95918367346,3.4412868852915668e-18,8.106114702924185e-19
26,299,2.532387180866136e-05,4.630163878163114e-14,0.0076233040846259,0.0014541100140923642,3e-08,181597.95918367346,3.4412868852915668e-18,9.250504333298598e-19
27,300,2.8797793033228972e-05,5.323065527377805e-14,0.007399473818717479,0.0014410797265834055,3e-08,181597.95918367346,3.4412868852915668e-18,1.0556454424399857e-18
28,301,3.270403937924893e-05,6.142282021231428e-14,0.007185332024130679,0.0014284938552803729,3e-08,181597.95918367346,3.4412868852915668e-18,1.2046773451398734e-18
29,302,3.709059702543571e-05,7.111013109815339e-14,0.006980379629797321,0.001416338746264083,3e-08,181597.95918367346,3.4412868852915668e-18,1.3747489900954681e-18
30,303,4.2010081949326976e-05,8.174035023565055e-14,0.006784147204472123,0.0014046013177572503,3e-08,181597.95918367346,3.4412868852915668e-18,1.5688306859867705e-18
31,304,4.752011160305697e-05,9.431562907872238e-14,0.00659619298926117,0.0013932690334324273,3e-08,181597.95918367346,3.4412868852915668e-18,1.790312078078198e-18
32,305,5.36836992604543e-05,1.0865924212300526e-13,0.006416101073612389,0.0013823298771377713,3e-08,181597.95918367346,3.4412868852915668e-18,2.0430613485206293e-18
33,306,6.056967181744098e-05,1.2518074745544535e-13,0.006243479703425909,0.001371772328957597,3e-08,181597.95918367346,3.4412868852915668e-18,2.3314927743209996e-18
34,307,6.825311180913423e-05,1.4429623792300098e-13,0.0060779597109035435,0.001361585342529819,3e-08,181597.95918367346,3.4412868852915668e-18,2.6606438228823376e-18
35,308,7.681582438448422e-05,1.6593323303563589e-13,0.005919193056632725,0.0013517583235474846,3e-08,181597.95918367346,3.4412868852915668e-18,3.0362631315910957e-18
36,309,8.634682995270255e-05,1.904113645249552e-13,0.005766851475198759,0.0013422811093760667,3e-08,181597.95918367346,3.4412868852915668e-18,3.4649109080193685e-18
37,310,9.694288318494374e-05,2.1962444095816167e-13,0.005620625216344189,0.0013331439497227026,3e-08,181597.95918367346,3.4412868852915668e-18,3.95407350423555e-18
38,311,0.000108709019019833,2.517400880608839e-13,0.005480221874355614,0.001324337488297299,3e-08,181597.95918367346,3.4412868852915668e-18,4.512294166268994e-18
39,312,0.00012175912628217265,2.8941316665497495e-13,0.005345365298961801,0.0013158527454093843,3e-08,181597.95918367346,3.4412868852915668e-18,5.1493222422736925e-18
40,313,0.00013621654948069175,3.3290901284438237e-13,0.0052157945815759395,0.001307681101448033,3e-08,181597.95918367346,3.4412868852915668e-18,5.876283455318033e-18
41,314,0.00015221471930296714,3.813002171196348e-13,0.0050912631112179285,0.0012998142811952737,3e-08,181597.95918367346,3.4412868852915668e-18,6.705874214622387e-18
42,315,0.0001698978122735318,4.377656982550321e-13,0.0049715376949095915,0.0012922443389266638,3e-08,181597.95918367346,3.4412868852915668e-18,7.652583358898454e-18
43,316,0.00018942143998495738,5.023594022120038e-13,0.004856397737755378,0.001284963644255342,3e-08,181597.95918367346,3.4412868852915668e-18,8.732945204548134e-18
44,317,0.00021095336825107771,5.771634897444348e-13,0.004745634478303751,0.0012779648686787114,3e-08,181597.95918367346,3.4412868852915668e-18,9.965828318218813e-18
45,318,0.00023467426646707945,6.61665538245803e-13,0.004639050275133621,0.0012712409727891516,3e-08,181597.95918367346,3.4412868852915668e-18,1.137276505714099e-17
46,319,0.00026077848739242804,7.585450575906024e-13,0.004536457940931829,0.001264785194112642,3e-08,181597.95918367346,3.4412868852915668e-18,1.2978327632684319e-17
47,320,0.00028947487750007517,8.696745685128122e-13,0.004437680120620176,0.0012585910355413293,3e-08,181597.95918367346,3.4412868852915668e-18,1.4810557265098564e-17
48,321,0.00032098761795926395,9.977059286469669e-13,0.004342548710359119,0.001252652254327924,3e-08,181597.95918367346,3.4412868852915668e-18,1.6901453924645094e-17
49,322,0.00035555709623917467,1.1416232732589874e-12,0.004250904314502143,0.0012469628516119818,3e-08,181597.95918367346,3.4412868852915668e-18,1.9287535212470617e-17
50,323,0.000393440808237666,1.3078939632073318e-12,0.004162595737799935,0.0012415170624495593,3e-08,181597.95918367346,3.4412868852915668e-18,2.2010474142099917e-17
51,324,0.00043491429075264126,1.5000886755203533e-12,0.004077479510361298,0.0012363093463197417,3e-08,181597.95918367346,3.4412868852915668e-18,2.5117826960430603e-17
52,325,0.0004802720840245308,1.7171296449371908e-12,0.0039954194430673945,0.0012313343780827473,3e-08,181597.95918367346,3.4412868852915668e-18,2.866386371965464e-17
53,326,0.0005298287239858217,1.9660819660698352e-12,0.003916286211311189,0.0012265870393661329,3e-08,181597.95918367346,3.4412868852915668e-18,3.2710516106081503e-17
54,327,0.0005839197637596738,2.251129917140309e-12,0.0038399569650936585,0.0012220624103565618,3e-08,181597.95918367346,3.4412868852915668e-18,3.732845907973488e-17
55,328,0.0006429028238523715,2.577313497299157e-12,0.003766314963656596,0.0012177557619762753,3e-08,181597.95918367346,3.4412868852915668e-18,4.2598345215603895e-17
56,329,0.0007071586703860402,2.9514544385767315e-12,0.0036952492329676997,0.0012136625484244232,3e-08,181597.95918367346,3.4412868852915668e-18,4.861221330437654e-17
57,330,0.0007770923206184249,3.3779284424738906e-12,0.0036266542444970923,0.001209778400064406,3e-08,181597.95918367346,3.4412868852915668e-18,5.547509581392321e-17
58,331,0.0008531341748944425,3.863892289881917e-12,0.0035604296138416498,0.0012060991166397482,3e-08,181597.95918367346,3.4412868852915668e-18,6.330685328591891e-17
59,332,0.0009357411740729783,4.42602682866064e-12,0.0034964798178571416,0.0012026206608017214,3e-08,181597.95918367346,3.4412868852915668e-18,7.224426770541943e-17
60,333,0.001025397981369141,5.060049799142373e-12,0.003434713929057561,0.0011993391519330495,3e-08,181597.95918367346,3.4412868852915668e-18,8.244343140418263e-17
61,334,0.0011226181874500656,5.789080223564475e-12,0.0033750453661295986,0.0011962508602527766,3e-08,181597.95918367346,3.4412868852915668e-18,9.408247322003573e-17
62,335,0.0012279455375190781,6.62714960925052e-12,0.003317391659494613,0.0011933522011883363,3e-08,181597.95918367346,3.4412868852915668e-18,1.0736466952477683e-16
63,336,0.0013419551790223464,7.57764238972817e-12,0.0032616742309252893,0.0011906397300014686,3e-08,181597.95918367346,3.4412868852915668e-18,1.22521994454858e-16
64,337,0.0014652549285096802,8.666159246714537e-12,0.003207818186296781,0.0011881101366555669,3e-08,181597.95918367346,3.4412868852915668e-18,1.3981917134977047e-16
65,338,0.0015984865560838054,9.911075299058988e-12,0.0031557521206156632,0.0011857602409124058,3e-08,181597.95918367346,3.4412868852915668e-18,1.5955829615668933e-16
66,339,0.001742327085772063,1.1334636834353489e-11,0.0031054079345318097,0.0011835869876473022,3e-08,181597.95918367346,3.4412868852915668e-18,1.8208411354933673e-16
67,340,0.0018974901100621917,1.2962650698697199e-11,0.0030567206615927265,0.0011815874423718013,3e-08,181597.95918367346,3.4412868852915668e-18,2.077900379087106e-16
68,341,0.0020647271167472405,1.481873715810398e-11,0.003009628305553077,0.0011797587869541311,3e-08,181597.95918367346,3.4412868852915668e-18,2.371250243223703e-16
69,342,0.0022448288261382224,1.6945647975487907e-11,0.002964071687097805,0.0011780983155276906,3e-08,181597.95918367346,3.4412868852915668e-18,2.706014096045708e-16
70,343,0.0024386265366136074,1.937711199008718e-11,0.002919994299383461,0.0011766034305787131,3e-08,181597.95918367346,3.4412868852915668e-18,3.088038602810284e-16
71,344,0.0026469934763924657,2.2145780204435762e-11,0.002877342171841894,0.0011752716392045722,3e-08,181597.95918367346,3.4412868852915668e-18,3.523995838152285e-16
72,345,0.002870846159340281,2.5311322026989674e-11,0.0028360637417288374,0.001174100549534542,3e-08,181597.95918367346,3.4412868852915668e-18,4.0214998141581086e-16
73,346,0.0031111457425389284,2.8942045827886014e-11,0.002796109732935052,0.0011730878673055394,3e-08,181597.95918367346,3.4412868852915668e-18,4.589239459418122e-16
74,347,0.0033688993832854345,3.3065997358253905e-11,0.002757433041610052,0.0011722313925854168,3e-08,181597.95918367346,3.4412868852915668e-18,5.237130371542632e-16
75,348,0.003645161593115897,3.7794225524498775e-11,0.0027199886281789203,0.001171529016637068,3e-08,181597.95918367346,3.4412868852915668e-18,5.976487993505499e-16
76,349,0.003941035586393046,4.3199440013663276e-11,0.002683733415360654,0.0011709787189167714,3e-08,181597.95918367346,3.4412868852915668e-18,6.820225238348283e-16
77,350,0.004257674620942063,4.936787955467303e-11,0.002648626191821884,0.0011705785642005411,3e-08,181597.95918367346,3.4412868852915668e-18,7.783078013768305e-16
78,351,0.004596283328168066,5.640925399752988e-11,0.0026146275211252927,0.0011703266998327004,3e-08,181597.95918367346,3.4412868852915668e-18,8.881862585387849e-16
79,352,0.004958119030048146,6.446150373008623e-11,0.002581699655653234,0.0011702213530911027,3e-08,181597.95918367346,3.4412868852915668e-18,1.0135769273565058e-15
80,353,0.005344493040357072,7.364871961965156e-11,0.002549806455208207,0.0011702608286635727,3e-08,181597.95918367346,3.4412868852915668e-18,1.1566697613174046e-15
81,354,0.0057567719474486655,8.415822434523496e-11,0.002518913310011989,0.0011704435062307823,3e-08,181597.95918367346,3.4412868852915668e-18,1.3199638829934575e-15
82,355,0.006196378875900554,9.61408658446524e-11,0.002488987067842268,0.0011707678381505588,3e-08,181597.95918367346,3.4412868852915668e-18,1.5063112313256391e-15
83,356,0.006664794724306721,1.0983591401829005e-10,0.002459995965062764,0.001171232347239297,3e-08,181597.95918367346,3.4412868852915668e-18,1.7189663708616858e-15
84,357,0.007163559376497445,1.2549751408656885e-10,0.002431909561318826,0.0011718356246459823,3e-08,181597.95918367346,3.4412868852915668e-18,1.9616433328675124e-15
85,358,0.007694272883459402,1.4333253490153537e-10,0.0024046986776844912,0.001172576327814909,3e-08,181597.95918367346,3.4412868852915668e-18,2.2385804810449004e-15
86,359,0.0082585966132388,1.6373950021085898e-10,0.0023783353380605675,0.0011734531785330645,3e-08,181597.95918367346,3.4412868852915668e-18,2.5546145347379872e-15
87,360,0.008858254366115184,1.870660754591041e-10,0.002352792713636686,0.001174464961058578,3e-08,181597.95918367346,3.4412868852915668e-18,2.915265042447085e-15
88,361,0.009495033452358635,2.1364973435407114e-10,0.0023280450702408556,0.0011756105203266757,3e-08,181597.95918367346,3.4412868852915668e-18,3.326830780983451e-15
89,362,0.010170785729907084,2.440445411404958e-10,0.0023040677184117913,0.0011768887602297583,3e-08,181597.95918367346,3.4412868852915668e-18,3.796499763880307e-15
90,363,0.010887428599328744,2.787647335881053e-10,0.0022808369660397986,0.001178298641968527,3e-08,181597.95918367346,3.4412868852915668e-18,4.332474780362115e-15
91,364,0.011646945953483286,3.1836534649700806e-10,0.002258330073430467,0.0011798391824710103,3e-08,181597.95918367346,3.4412868852915668e-18,4.94411665741526e-15
92,365,0.012451389079337039,3.636229790089175e-10,0.0022365252106553222,0.0011815094528766484,3e-08,181597.95918367346,3.4412868852915668e-18,5.642107747038725e-15
93,366,0.013302877509437384,4.1524721747364804e-10,0.0022154014170617043,0.001183308577082775,3e-08,181597.95918367346,3.4412868852915668e-18,6.438638493986614e-15
94,367,0.014203599820626777,4.742287336242378e-10,0.00219493856282146,0.0011852357303506786,3e-08,181597.95918367346,3.4412868852915668e-18,7.347620342416257e-15
95,368,0.015155814377621136,5.416375005025031e-10,0.0021751173124060098,0.0011872901379690272,3e-08,181597.95918367346,3.4412868852915668e-18,8.384928699865848e-15
96,369,0.016161850019179583,6.184572261954723e-10,0.0021559190898813433,0.0011894710739719675,3e-08,181597.95918367346,3.4412868852915668e-18,9.568680201937707e-15
97,370,0.017224106684639213,7.062620804732182e-10,0.002137326045923793,0.001191777859909985,3e-08,181597.95918367346,3.4412868852915668e-18,1.0919549120127769e-14
98,371,0.018345055978713266,8.065650830120813e-10,0.0021193210264622907,0.0011942098636709782,3e-08,181597.95918367346,3.4412868852915668e-18,1.2461128438876703e-14
99,372,0.019527241672495192,9.209286976390056e-10,0.0021018875428597283,0.0011967664983499103,3e-08,181597.95918367346,3.4412868852915668e-18,1.4220341908069896e-14
